year,state_name,reference_period_desc,freq_desc,unit_desc,sector_desc,class_desc,commodity_desc,short_desc,group_desc,statisticcat_desc,Value
2010,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"250,000"
2009,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"250,000"
2008,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"235,000"
2007,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"280,000"
2006,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"165,000"
2005,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"200,000"
2004,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"195,000"
2003,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"190,000"
2002,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"180,000"
2001,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"150,000"
2000,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"165,000"
1999,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"200,000"
1998,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"200,000"
1997,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"250,000"
1996,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"270,000"
1995,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"220,000"
1994,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"260,000"
1993,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"250,000"
1992,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"295,000"
1991,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"210,000"
1990,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"240,000"
1989,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"180,000"
1988,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"170,000"
1987,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"250,000"
1986,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"270,000"
1985,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"325,000"
1984,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"385,000"
1983,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"305,000"
1982,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"380,000"
1981,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"530,000"
1980,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"423,000"
1979,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"502,000"
1978,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"544,000"
1977,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"375,000"
1976,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"800,000"
1975,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"660,000"
1974,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"630,000"
1973,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"610,000"
1972,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"545,000"
1971,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"626,000"
1970,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"555,000"
1969,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"654,000"
1968,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"711,000"
1967,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"899,000"
1966,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"872,000"
1965,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"945,000"
1964,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"1,020,000"
1963,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"1,133,000"
1962,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"1,144,000"
1961,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"1,330,000"
1960,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"1,705,000"
1959,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"1,807,000"
1958,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"1,794,000"
1957,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"1,907,000"
1956,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"1,989,000"
1955,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,030,000"
1954,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,121,000"
1953,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,040,000"
1952,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,179,000"
1951,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,281,000"
1950,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,443,000"
1949,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,346,000"
1948,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,412,000"
1947,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,530,000"
1946,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,531,000"
1945,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,719,000"
1944,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,847,000"
1943,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"3,128,000"
1942,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"3,047,000"
1941,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"3,214,000"
1940,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"3,452,000"
1939,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"3,425,000"
1938,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"3,564,000"
1937,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"3,287,000"
1936,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"3,376,000"
1935,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"3,688,000"
1934,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"3,630,000"
1933,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"3,141,000"
1932,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"3,165,000"
1931,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"3,047,000"
1930,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,771,000"
1929,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,590,000"
1928,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,582,000"
1927,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,766,000"
1926,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,637,000"
1925,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,676,000"
1924,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,814,000"
1923,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,792,000"
1922,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"3,127,000"
1921,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"3,393,000"
1920,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"3,005,000"
1919,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"3,334,000"
1918,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"3,620,000"
1917,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"3,830,000"
1916,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"3,200,000"
1915,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"3,170,000"
1914,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,800,000"
1913,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,750,000"
1912,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,770,000"
1911,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,750,000"
1910,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,740,000"
1909,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,589,000"
1908,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,540,000"
1907,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,500,000"
1906,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,590,000"
1905,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,650,000"
1904,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,600,000"
1903,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,690,000"
1902,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,680,000"
1901,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,580,000"
1900,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,630,000"
1899,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,756,000"
1898,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,650,000"
1897,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,550,000"
1896,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,600,000"
1895,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,780,000"
1894,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,530,000"
1893,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,360,000"
1892,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,410,000"
1891,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,540,000"
1890,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,490,000"
1889,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,510,000"
1888,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,490,000"
1887,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,460,000"
1886,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,390,000"
1885,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,350,000"
1884,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,320,000"
1883,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,280,000"
1882,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,300,000"
1881,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,040,000"
1880,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"1,830,000"
1879,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,056,000"
1878,ALABAMA,YEAR,ANNUAL,ACRES,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - ACRES HARVESTED",FIELD CROPS,AREA HARVESTED,"2,100,000"
